"DOR","log10_DOR","Rank","TF_names","row.names","MAM","nonMAM","exprDiff","Specificity","regulon_size"
0.845560137100692,-0.0728554995006278,103,"ZNF358","ZNF358(-)",0.0362696833777794,0.00460420057716905,0.0316654828006103,0,7
0.833486280475339,-0.0791015444417257,104,"CLOCK","CLOCK(+)",-0.00274083215403433,-0.000393382605375966,-0.00234744954865836,0,7
0.831054260357436,-0.0803706197724311,105,"NFIL3","NFIL3(-)",-0.0251852211036237,0.0312358232968782,-0.0564210444005018,0,24
0.824414484095699,-0.0838543867283665,106,"TCF4","TCF4(+)",-0.0339835009880787,-0.00883086755018211,-0.0251526334378966,0,7
0.807074212906997,-0.093086528754863,107,"ETV5","ETV5(-)",0.0202118641315618,0.0312703429910291,-0.0110584788594674,0,3
0.806901620733406,-0.0931794122136279,108,"POU2F1","POU2F1(+)",0.132097638331644,0.0172499602727949,0.114847678058849,0,82
0.802573567609215,-0.0955151476553752,109,"SP1","SP1(+)",-0.00156242468724696,-0.0374763108337641,0.0359138861465171,0,34
0.781838801585512,-0.106882779930484,110,"ZNF770","ZNF770(+)",-0.0424354140007829,0.00340333453451674,-0.0458387485352996,0,19
0.757856464111511,-0.120413040736238,111,"EGR3","EGR3(+)",-0.03972806340045,0.00585812194716561,-0.0455861853476156,0,6
0.742923918841363,-0.129055659078152,112,"DDIT3","DDIT3(-)",0.96598718710396,1.17321752233292,-0.207230335228957,0,11
0.717788178892028,-0.144003698251645,113,"IRF9","IRF9(+)",0.095349550673597,0.160722694684708,-0.0653731440111111,0,29
0.716067584979799,-0.145045985515357,114,"MEF2C","MEF2C(+)",-0.00032770930626497,0.0340107348262192,-0.0343384441324841,0,16
0.713965050534888,-0.146323046951188,115,"BDP1","BDP1(+)",-0.0215479722772075,0.000540119934329939,-0.0220880922115374,0,6
0.69206413606161,-0.159853656053435,116,"KLF3","KLF3(+)",0.194888075984636,0.186920680621043,0.00796739536359295,-0.00130026513612884,47
0.674501085446769,-0.171017347099322,117,"PHF21A","PHF21A(+)",0.0125381515205134,-0.00248702163557118,0.0150251731560845,0,10
0.671212290237315,-0.173140099954416,118,"NFATC2","NFATC2(+)",-0.0626046994294046,-0.0503859493931056,-0.012218750036299,0,31
0.656603235476692,-0.182696981572851,119,"ZNF281","ZNF281(-)",0.587422670283351,0.753946942648893,-0.166524272365542,0,15
0.647975076052631,-0.18844169866796,120,"EGR2","EGR2(-)",0.0436131922156629,0.215734615764927,-0.172121423549264,0,21
0.640648502236743,-0.19338018484736,121,"KDM2B","KDM2B(-)",-0.0444238476681344,0.011000599324777,-0.0554244469929114,0,4
0.634823858090305,-0.197346759859434,122,"REL","REL(-)",0.585424849953834,0.744443893541589,-0.159019043587755,0,37
0.624949435490766,-0.204155119897047,123,"RB1","RB1(+)",-0.0447776032686166,-0.05316358741748,0.00838598414886337,0,49
0.622173761749439,-0.206088307865225,124,"NFATC1","NFATC1(-)",0.00812013930682122,0.186735167477215,-0.178615028170394,0,18
0.615832737182274,-0.210537228067263,125,"KLF6","KLF6(-)",0.379357050079613,0.503390439598179,-0.124033389518566,-0.0354969251815078,19
0.597466028474366,-0.223686783376574,126,"RARA","RARA(+)",-0.0262843875252516,0.00604745224315204,-0.0323318397684036,0,45
0.58491734356107,-0.232905501048717,127,"PRDM1","PRDM1(+)",-0.0387868959894475,-0.0183735427169841,-0.0204133532724634,0,11
0.584499326820475,-0.233215984687464,128,"EZH2","EZH2(+)",0.0740722501060418,0.0124271084093122,0.0616451416967296,0,80
0.580918910202356,-0.23588448604251,129,"CUX1","CUX1(-)",0.603003064457125,0.641440564782764,-0.0384375003256394,-0.00467714174300549,24
